[registry] ✓ pi_release — PI Release 实验
[registry] ✓ recall_rating — n-back × 类别切换 + Rating
模块: n-back × 类别切换 + Rating (recall_rating)
模型: deepseek-chat
条件数: 36

  [88/1800] VA: d_prime=1.784 hit_rate=0.625 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0
  [89/1800] VA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [90/1800] VA: d_prime=-2.023 hit_rate=0.000 false_alarm=0.143 acc_first_half=0.545 acc_second_half=0
  [91/1800] VA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [92/1800] VA: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.682 acc_second_half=0
  [93/1800] VA: d_prime=-2.023 hit_rate=0.000 false_alarm=0.143 acc_first_half=0.545 acc_second_half=0
  [94/1800] VA: d_prime=-2.023 hit_rate=0.000 false_alarm=0.143 acc_first_half=0.545 acc_second_half=0
  [95/1800] VA: d_prime=-0.083 hit_rate=0.125 false_alarm=0.143 acc_first_half=0.591 acc_second_half=0
  [96/1800] VA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [97/1800] VA: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0
  [98/1800] VA: d_prime=0.315 hit_rate=0.125 false_alarm=0.071 acc_first_half=0.636 acc_second_half=0
  [99/1800] VA: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.864 acc_second_half=0
  [100/1800] VA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
/Users/st/Documents/mynotebook/小学期AI4S/psyst-lab/modules/recall_rating/metrics.py:227: OptimizeWarning: Covariance of the parameters could not be estimated
  popt, _ = curve_fit(dog_model, deltas, errors, p0=[0, 0.001, 20], maxfev=5000)
  [101/1800] VA: lag1_corr=-0.091 assimilation_score=-0.091 direction_tag=-1.000 doG_A=-0.159 doG_half_amp=-136.982
  [102/1800] VA: lag1_corr=0.167 assimilation_score=0.167 direction_tag=1.000 doG_A=-0.137 doG_half_amp=-117.538
  [103/1800] VA: lag1_corr=-0.244 assimilation_score=-0.244 direction_tag=-1.000 doG_A=-0.106 doG_half_amp=-102.320
  [104/1800] VA: lag1_corr=-0.248 assimilation_score=-0.248 direction_tag=-1.000 doG_A=-0.111 doG_half_amp=-104.713
  [105/1800] VA: lag1_corr=-0.136 assimilation_score=-0.136 direction_tag=-1.000 doG_A=-0.108 doG_half_amp=-100.697
  [106/1800] VA: lag1_corr=-0.281 assimilation_score=-0.281 direction_tag=-1.000 doG_A=-0.100 doG_half_amp=-99.544
  [107/1800] VA: lag1_corr=0.004 assimilation_score=0.004 direction_tag=0.000 doG_A=-0.106 doG_half_amp=-101.472
  [108/1800] VA: lag1_corr=0.136 assimilation_score=0.136 direction_tag=1.000 doG_A=-0.148 doG_half_amp=-126.074
  [109/1800] VA: lag1_corr=-0.147 assimilation_score=-0.147 direction_tag=-1.000 doG_A=-0.131 doG_half_amp=-118.566
  [110/1800] VA: lag1_corr=-0.225 assimilation_score=-0.225 direction_tag=-1.000 doG_A=-0.098 doG_half_amp=-97.675
  [111/1800] VA: lag1_corr=-0.422 assimilation_score=-0.422 direction_tag=-1.000 doG_A=-0.112 doG_half_amp=-105.714
  [112/1800] VA: lag1_corr=-0.129 assimilation_score=-0.129 direction_tag=-1.000 doG_A=-0.099 doG_half_amp=-99.354
  [113/1800] VA: lag1_corr=0.050 assimilation_score=0.050 direction_tag=0.000 doG_A=-0.108 doG_half_amp=-102.808
  [114/1800] VA: lag1_corr=-0.372 assimilation_score=-0.372 direction_tag=-1.000 doG_A=-0.144 doG_half_amp=-122.863
  [115/1800] VA: lag1_corr=0.217 assimilation_score=0.217 direction_tag=1.000 doG_A=-0.095 doG_half_amp=-95.590
  [116/1800] VA: lag1_corr=-0.005 assimilation_score=-0.005 direction_tag=0.000 doG_A=-0.088 doG_half_amp=-92.239
  [117/1800] VA: lag1_corr=0.258 assimilation_score=0.258 direction_tag=1.000 doG_A=-0.118 doG_half_amp=-107.282
  [118/1800] VA: lag1_corr=0.106 assimilation_score=0.106 direction_tag=1.000 doG_A=-0.097 doG_half_amp=-96.475
  [119/1800] VA: lag1_corr=-0.286 assimilation_score=-0.286 direction_tag=-1.000 doG_A=-0.117 doG_half_amp=-111.211
  [120/1800] VA: lag1_corr=-0.453 assimilation_score=-0.453 direction_tag=-1.000 doG_A=-0.120 doG_half_amp=-112.357
  [121/1800] VA: lag1_corr=-0.458 assimilation_score=-0.458 direction_tag=-1.000 doG_A=-0.133 doG_half_amp=-120.673
  [122/1800] VA: lag1_corr=0.161 assimilation_score=0.161 direction_tag=1.000 doG_A=-0.102 doG_half_amp=-98.883
  [123/1800] VA: lag1_corr=-0.135 assimilation_score=-0.135 direction_tag=-1.000 doG_A=-0.109 doG_half_amp=-104.270
  [124/1800] VA: lag1_corr=0.188 assimilation_score=0.188 direction_tag=1.000 doG_A=-0.118 doG_half_amp=-106.445
  [125/1800] VA: lag1_corr=-0.054 assimilation_score=-0.054 direction_tag=-1.000 doG_A=-0.114 doG_half_amp=-105.758
  [126/1800] VA: lag1_corr=0.081 assimilation_score=0.081 direction_tag=1.000 doG_A=-0.101 doG_half_amp=-99.348
  [127/1800] VA: lag1_corr=0.055 assimilation_score=0.055 direction_tag=1.000 doG_A=-0.098 doG_half_amp=-97.289
  [128/1800] VA: lag1_corr=-0.124 assimilation_score=-0.124 direction_tag=-1.000 doG_A=-0.099 doG_half_amp=-97.362
